epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3122.55,0.31223,2.07243,0.2657,0.2282,1.13893,0.97233,1,0.97605,0.90637,0.84093,0.86486,0.78011,0.53529,0.44444,2.40009,0.06373,0.34499,1.33402,3.94663e-05,3.94663e-05,3.94663e-05
85,3150.6,0.33491,2.07272,0.26455,0.23833,1.1606,0.97232,1,0.97316,0.89993,0.84093,0.86486,0.77096,0.52289,0.42251,2.34448,0.05971,0.30528,1.31485,3.56141e-05,3.56141e-05,3.56141e-05
86,3186.09,0.3122,2.16388,0.25555,0.22835,1.12859,0.97231,1,0.97316,0.90195,0.84091,0.86486,0.76526,0.52021,0.43451,2.31951,0.05674,0.30742,1.34664,3.19759e-05,3.19759e-05,3.19759e-05
87,3221.11,0.29878,2.06576,0.26389,0.22047,1.11547,0.97231,1,0.97316,0.89924,0.84092,0.86486,0.76477,0.53073,0.45188,2.32545,0.05708,0.31726,1.35545,2.85553e-05,2.85553e-05,2.85553e-05
88,3258.82,0.30679,2.08968,0.26621,0.227,1.125,0.97233,1,0.97316,0.89804,0.84093,0.86486,0.76256,0.5257,0.45219,2.32979,0.05674,0.31885,1.35134,2.53557e-05,2.53557e-05,2.53557e-05
89,3294.35,0.31344,2.05379,0.25325,0.22961,1.13037,0.97232,1,0.97368,0.89429,0.84092,0.86486,0.75724,0.52174,0.42608,2.3075,0.05546,0.3391,1.32072,2.23803e-05,2.23803e-05,2.23803e-05
90,3327.72,0.32458,1.94935,0.25176,0.22371,1.14755,0.97232,1,0.97605,0.89374,0.84093,0.86486,0.75865,0.52383,0.43489,2.33117,0.05939,0.34279,1.32585,1.9632e-05,1.9632e-05,1.9632e-05
91,3370.46,0.2509,2.19456,0.13894,0.54072,1.23034,0.97234,1,0.97868,0.89385,0.84094,0.86486,0.76357,0.52719,0.44114,2.34685,0.069,0.37483,1.32724,1.71135e-05,1.71135e-05,1.71135e-05
92,3403.52,0.25219,2.05317,0.13082,0.23376,1.24524,0.97232,1,0.98158,0.8911,0.84093,0.86486,0.75498,0.51823,0.47065,2.37079,0.07321,0.32663,1.37,1.48273e-05,1.48273e-05,1.48273e-05
93,3442.46,0.2283,2.16798,0.12651,0.19974,1.20763,0.97233,1,0.97816,0.89599,0.84094,0.86486,0.75521,0.52103,0.48885,2.33611,0.07088,0.34275,1.41716,1.27757e-05,1.27757e-05,1.27757e-05
94,3468.43,0.23083,1.96563,0.1133,0.18819,1.19606,0.97238,1,0.97947,0.91167,0.84097,0.86486,0.75621,0.52732,0.48046,2.30857,0.07024,0.34023,1.40696,1.09606e-05,1.09606e-05,1.09606e-05
95,3501.06,0.22163,1.99218,0.11673,0.17533,1.19391,0.97238,1,0.98026,0.90998,0.84097,0.86486,0.7621,0.5314,0.45983,2.30195,0.07016,0.32805,1.36863,9.38391e-06,9.38391e-06,9.38391e-06
96,3533.39,0.22598,1.97806,0.11181,0.17382,1.21544,0.97237,1,0.97947,0.91141,0.84097,0.86486,0.76074,0.53819,0.45171,2.29191,0.06838,0.31837,1.35253,8.04714e-06,8.04714e-06,8.04714e-06
97,3585.57,0.2266,2.09179,0.11122,0.17972,1.1915,0.97238,1,0.97737,0.90782,0.84098,0.86486,0.76266,0.54765,0.45932,2.26982,0.06417,0.33804,1.36345,6.95161e-06,6.95161e-06,6.95161e-06
98,3634.1,0.27089,1.97569,0.11294,0.19389,1.29459,0.97237,1,0.97658,0.9015,0.84097,0.86486,0.76238,0.54944,0.45315,2.26705,0.06135,0.36469,1.35744,6.09841e-06,6.09841e-06,6.09841e-06
99,3671.1,0.22311,1.93291,0.10403,0.17288,1.19243,0.97236,1,0.97658,0.90451,0.84096,0.86486,0.76358,0.54814,0.44843,2.27075,0.06054,0.34687,1.34052,5.48838e-06,5.48838e-06,5.48838e-06
100,3709.23,0.21353,1.95412,0.10379,0.17359,1.19421,0.97236,1,0.97658,0.90462,0.84096,0.86486,0.76459,0.55187,0.45393,2.25992,0.05937,0.32383,1.34339,5.12213e-06,5.12213e-06,5.12213e-06
